0,#zm_red_default,#,#,#,#,#,#,#,#,#,#,#,#
1,#quick_kills,#hash_e3c6806da3a5e83,#hash_3baff445117f4215,#,#timeout,#hash_6c333e42197cd31e,#hash_73d4bcc7d0dd1647,#8,#10,#10,#5,#5,#melee_only
1,#,#,#,#,#restrict_loadout,#melee,#,#,#,#,#,#,#
2,#turret_mode,#hash_e3c6906da3a6036,#hash_61d49252aae8c746,#,#restrict_controls,#turret,#,#,#,#,#,#,#
3,#sub_par,#hash_e3c6a06da3a61e9,#hash_58835b1180a6fe3,#,#restrict_loadout,#hash_14468aadde60f9e1,#,#,#,#,#,#,#
4,#hash_3f9bf20a80f6c421,#hash_e3c6b06da3a639c,#hash_5702dad2a92e9ae4,#,#hash_53a5a75770adb550,#15,#10,#5,#5,#zhield_zpear_turret,#,#,#
5,#hot_day,#hash_e3c6c06da3a654f,#hash_35756e2d40596ac1,#,#safe_zone,#hash_5402253e7e8b7ce6,#10,#,#,#,#,#,#
6,#dark_side,#hash_e3c6d06da3a6702,#hash_6549dfc2889aed92,#,#hash_69bf786a279d4ca6,#hash_13aa327bb61b59de,#zm_red_dark_side,#,#,#,#,#,#
7,#loaded,#hash_e3c6e06da3a68b5,#hash_33f9ba586bfea9f,#,#full_loadout,#,#,#,#,#,#,#,#
8,#double_damage,#hash_e3c6f06da3a6a68,#hash_5edf8aa8c17053b0,#,#double_damage,#,#,#,#,#,#,#,#
9,#half_speed,#hash_e3c7006da3a6c1b,#hash_1443820ee47af9cd,#,#restrict_controls,#half_speed,#,#,#,#,#,#,#
10,#hash_a3aaa98cbf1cdb2,#hash_e3f6d06da3c9cd9,#hash_3b8f0e4e0f3e0673,#,#defend_area,#hash_4a39fa2d25803b35,#hash_2d601b2f05ef5040,#hash_15662ab42f25f646,#zone_temple_of_apollo,#zone_temple_of_apollo_back,#zone_temple_of_apollo_right_path,#zone_temple_of_apollo_left_path,#
10,#,#,#,#,#give_reward,#hash_20e770cec441c9f2,#hash_3ad6fd4b554f42a0,#uie_trial_medal_bronze,#hash_2d90c6cd4a46b575,#,#,#,#
11,#handy,#hash_e3f6c06da3c9b26,#hash_13f479bc83629356,#,#acquire_weapon,#ww_hand_o,#0,#ww_hand_g,#ww_hand_h,#ww_hand_c,#,#,#
12,#hash_1012f0f1c946fb57,#hash_e3f6b06da3c9973,#hash_4529358b5e1cbf65,#,#purchase_rush,#20,#,#,#,#,#,#,#
13,#hash_79367ac62190f4a0,#hash_e3f6a06da3c97c0,#hash_37705bc03bf50c48,#,#special_enemy,#catalyst,#50,#100,#,#,#,#,#
